mun,lisnom2014,xx,dis,munIn,lisnom2014
ACAPONETA,26558,,I,TEPIC,58374
AHUACATLÁN,12441,,II,TEPIC,67549
AMATLÁN DE CAÑAS,9690,,III,TEPIC Y SANTA MARÍA DEL ORO,78833
BAHÍA DE BANDERAS,84498,,IV,TEPIC Y XALISCO,81554
COMPOSTELA,56003,,V,TEPIC,52357
HUAJICORI,7592,,VI,NAYAR Y LA YESCA,31147
IXTLÁN DEL RIO,20849,,VII,AHUACATLÁN Y JALA,25284
JALA,12843,,VIII,COMPOSTELA Y SAN PEDRO LAGUNILLAS,50374
EL NAYAR,23126,,IX,SAN BLAS,30032
ROSAMORADA,26162,,X,SANTIAGO IXCUINTLA,25940
RUIZ,17019,,XI,SANTIAGO IXCUINTLA,23501
SAN BLAS,30032,,XII,SANTIAGO IXCUINTLA,22884
SAN PEDRO LAGUNILLAS,6731,,XIII,AMATLÁN DE CAÑAS E IXTLÁN DEL RÍO,30539
SANTA MARÍA DEL ORO,17641,,XIV,BAHÍA DE BANDERAS Y COMPOSTELA,96858
SANTIAGO IXCUINTLA,72325,,XV,TUXPAN,23494
TECUALA,30455,,XVI,ROSAMORADA Y RUIZ,43181
TEPIC,285596,,XVII,TECUALA,30455
TUXPAN,23494,,XVIII ,ACAPONETA Y HUAJICORI,34150
XALISCO,35430,,,,
LA YESCA,8021,,,,
TOTAL,806506,,TOTAL,TOTAL,806506
